epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.43946,1.03798,3.65045,1.51284,0.07143,1,0.11056,0.02211,3.29597,4.89066,3.04502,0,0,0
2,0.786489,1.06455,3.7973,1.31785,0.0625,1,0.09045,0.01809,3.2444,4.86485,3.00302,5.72628e-06,5.72628e-06,5.72628e-06
3,1.1119,0.82566,3.59501,1.19864,0.05556,1,0.09045,0.01809,3.16352,4.72934,2.94664,8.62512e-06,8.62512e-06,8.62512e-06
4,1.4364,0.63905,3.65251,1.17539,0.05556,1,0.08292,0.01658,3.06127,4.79607,2.90929,8.69652e-06,8.69652e-06,8.69652e-06
5,1.74813,0.33461,3.46576,1.08928,0.05556,1,0.08292,0.01658,2.9519,4.9901,2.75768,5.94048e-06,5.94048e-06,5.94048e-06
