epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.20922,2.01033,4.77252,2.26716,0.02453,1,0.12438,0.0398,1.42553,4.39553,1.54975,0,0,0
2,2.29253,1.01408,4.42244,1.65891,0.02431,1,0.12438,0.04206,1.41312,4.36824,1.5624,5.72628e-06,5.72628e-06,5.72628e-06
3,3.40427,0.81732,3.97083,1.33752,0.02409,1,0.19202,0.05499,1.37943,4.34685,1.54411,8.62512e-06,8.62512e-06,8.62512e-06
4,4.58641,0.72614,3.89058,1.30205,0.02409,1,0.19071,0.07131,1.31285,4.33799,1.49456,8.69652e-06,8.69652e-06,8.69652e-06
5,5.88653,0.55063,3.9729,1.17325,0.02372,1,0.18952,0.08237,1.25914,4.32948,1.4385,5.94048e-06,5.94048e-06,5.94048e-06
