Object,Confidence_mean,Confidence_std,N_detected
Obj 10:Plant,0.8058823529411764,0.08515124951589169,17
Obj 1:Bottle,0.7705,0.07535704486327947,20
Obj 2:Cup,0.8231818181818181,0.09623316741551487,22
Obj 3:Fork,0.7633333333333333,0.08203299192828385,18
Obj 4:Spoon,0.7538461538461539,0.097599390498307,13
Obj 5:Knife,0.737,0.07916929820187733,10
Obj 6:Book,0.7247368421052631,0.07662088640780741,19
Obj 7:Laptop,0.7852173913043478,0.10071876078816476,23
Obj 8:Cell Phone,0.7983333333333333,0.11790440736190622,24
Obj 9:Remote,0.7625,0.12186597469955958,20
