Object,Attempts_mean,Attempts_std,N
Obj 10:Plant,4.9,4.536062396943578,30
Obj 1:Bottle,4.2,4.237761282759468,30
Obj 2:Cup,4.466666666666667,3.7021273784726505,30
Obj 3:Fork,5.6,3.8381029796969512,30
Obj 4:Spoon,7.333333333333333,3.4872510004629556,30
Obj 5:Knife,7.3,3.9492469819116063,30
Obj 6:Book,4.8,4.054797073879879,30
Obj 7:Laptop,3.9,3.546246194071348,30
Obj 8:Cell Phone,3.533333333333333,3.5886154599706317,30
Obj 9:Remote,4.533333333333333,4.091482602316363,30
