epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.962748,1.15658,4.38055,1.57904,0.02415,1,0.12568,0.04232,1.43335,4.37815,1.58187,0,0,0
2,1.84489,1.02217,3.96864,1.64897,0.02372,1,0.12714,0.04261,1.43069,4.37498,1.57865,5.72628e-06,5.72628e-06,5.72628e-06
3,2.76802,0.68415,4.09596,1.28516,0.02316,1,0.15201,0.05113,1.36795,4.37012,1.54902,8.62512e-06,8.62512e-06,8.62512e-06
4,3.67371,0.77847,4.54362,1.34944,0.02372,1,0.18091,0.05691,1.31241,4.35503,1.50535,8.69652e-06,8.69652e-06,8.69652e-06
5,4.60343,1.03662,4.12951,1.55798,0.02282,1,0.18188,0.05871,1.25226,4.34183,1.44692,5.94048e-06,5.94048e-06,5.94048e-06
